,x,y,z,priority,exist,row
0,1.225,-0.875,0.078,1,FALSE,0
1,1.325,-0.875,0.078,2,FALSE,0
2,1.425,-0.875,0.078,3,FALSE,0
3,1.225,-0.975,0.078,4,FALSE,0
4,1.325,-0.975,0.078,5,FALSE,0
5,1.425,-0.975,0.078,6,FALSE,0
6,1.225,-1.075,0.078,7,FALSE,1
7,1.325,-1.075,0.078,8,FALSE,1
8,1.425,-1.075,0.078,9,FALSE,1
9,1.225,-1.175,0.078,10,FALSE,1
10,1.325,-1.175,0.078,11,FALSE,1
11,1.425,-1.175,0.078,12,FALSE,1
12,1.225,-1.275,0.078,13,FALSE,2
13,1.325,-1.275,0.078,14,FALSE,2
14,1.425,-1.275,0.078,15,FALSE,2
15,1.225,-1.375,0.078,16,FALSE,2
16,1.325,-1.375,0.078,17,FALSE,2
17,1.425,-1.375,0.078,18,FALSE,2