,time_s,dt_s,pick_or_shoot,action_number
0,0.068100691,0.001816988,0,2
1,0.080784321,0.01268363,0,3
2,0.083467006,0.002682685,0,4
3,2.020695924,1.937228918,0,5
4,2.022385597,0.001689673,0,6
5,2.040794372,0.018408775,0,7
6,2.460743189,0.419948817,0,8
7,2.9407982820000003,0.480055093,0,9
8,2.943254232,0.00245595,1,1
9,2.945533514,0.002279282,1,2
10,3.380696058,0.435162544,1,3
11,4.450815916,1.070119858,1,4
12,4.870725155,0.419909239,1,5
13,4.872363329,0.001638174,1,6
14,5.340693474,0.468330145,1,7
15,5.34489727,0.004203796,1,8
16,5.348361253,0.003463983,0,1
17,5.351261615,0.002900362,0,2
18,5.750698089,0.399436474,0,3
19,7.270810127,1.5201120380000002,0,4
20,8.500708818,1.229898691,0,5
21,8.502302646,0.001593828,0,6
22,8.540706634,0.038403988,0,7
23,8.900898933,0.360192299,0,8
24,9.340718269,0.439819336,0,9
25,9.343546152,0.002827883,0,1
26,9.348813057,0.005266905,0,2
27,9.730710029,0.381896972,0,3
28,9.732546806,0.001836777,0,4
29,10.480738163,0.748191357,0,5
30,10.590711117,0.109972954,0,6
31,11.040694713,0.449983596,0,7
32,11.400694132,0.359999419,0,8
33,11.840701341,0.440007209,0,9
34,11.843265772,0.002564431,0,1
35,11.846202135,0.002936363,0,2
36,12.260713577,0.414511442,0,3
37,12.262360811,0.001647234,0,4
38,13.010795831,0.74843502,0,5
39,13.120790958,0.109995127,0,6
40,13.540785312,0.419994354,0,7
41,13.930695533,0.389910221,0,8
42,14.340764284,0.410068751,0,9
43,14.342941522,0.002177238,0,1
44,14.345281601,0.002340079,0,2
45,14.780765056,0.435483455,0,3
46,14.782349348,0.001584292,0,4
47,15.530699968,0.74835062,0,5
48,15.650727272,0.120027304,0,6
49,16.140707493,0.489980221,0,7
50,16.550776005,0.410068512,0,8
51,17.040688276,0.489912271,0,9
52,17.042914629,0.002226353,0,1
53,17.045314073,0.002399444,0,2
54,17.510712385,0.465398312,0,3
55,17.512316227,0.001603842,0,4
56,18.270764112,0.758447885,0,5
57,18.40071249,0.129948378,0,6
58,18.840690613,0.439978123,0,7
59,19.290696621,0.450006008,0,8
60,19.740688085,0.449991464,0,9
61,19.742911815,0.00222373,1,1
62,19.746953964,0.004042149,1,2
63,20.260706186,0.513752222,1,3
64,22.580708503,2.320002317,1,4
65,23.150852918,0.570144415,1,5
66,23.153600692,0.002747774,1,6
67,23.640844345,0.487243653,1,7
68,24.540794372,0.899950027,1,8
69,24.542719364,0.001924992,1,1
70,24.544800997,0.002081633,1,2
71,24.830691337,0.28589034,1,3
72,25.460723638,0.630032301,1,4
73,25.9806993,0.519975662,1,5
74,25.982361316,0.001662016,1,6
75,26.440686464,0.458325148,1,7
76,27.240685701,0.799999237,1,8
77,27.242774486,0.002088785,1,1
78,27.246503353,0.003728867,1,2
79,27.520697355,0.274194002,1,3
80,28.430838346,0.910140991,1,4
81,28.910760641,0.479922295,1,5
82,28.913704395,0.002943754,1,6
83,29.340853691,0.427149296,1,7
84,30.1407938,0.799940109,1,8
85,30.142747164,0.001953364,1,1
86,30.144899606,0.002152442,1,2
87,30.390828848,0.245929242,1,3
88,31.020725727,0.629896879,1,4
89,31.470823049,0.450097322,1,5
90,31.472512245,0.001689196,1,6
91,31.940702915,0.46819067,1,7
92,32.740691423,0.799988508,1,8
93,32.742679357,0.001987934,1,1
94,32.74484396,0.002164603,1,2
95,32.980718136,0.235874176,1,3
96,33.600698471,0.619980335,1,4
97,34.020694494,0.419996023,1,5
98,34.022181749,0.001487255,1,6
99,34.440686226,0.418504477,1,7
100,34.442250252,0.001564026,1,8
101,34.443911552,0.0016613,0,1
102,34.446592331,0.002680779,0,2
103,34.850703001,0.40411067,0,3
104,34.85216093,0.001457929,0,4
105,37.070897341,2.218736411,0,5
106,37.074142456,0.003245115,0,6
107,37.140803337,0.066660881,0,7
108,37.560746908,0.419943571,0,8
109,38.040823221,0.480076313,0,9
110,38.043202162,0.002378941,0,1
111,38.045771599,0.002569437,0,2
112,38.480703354,0.434931755,0,3
113,38.4821949,0.001491546,0,4
114,39.380702257,0.898507357,0,5
115,39.620809078,0.240106821,0,6
116,40.040802717,0.419993639,0,7
117,40.400701999,0.359899282,0,8
118,40.840800762,0.440098763,0,9
119,40.843098402,0.00229764,0,1
120,40.845480203,0.002381801,0,2
121,41.310748338,0.465268135,0,3
122,41.312270403,0.001522065,0,4
123,42.220716238,0.908445835,0,5
124,42.470737934,0.250021696,0,6
125,42.940793276,0.470055342,0,7
126,43.33069539,0.389902114,0,8
127,43.740801096,0.410105706,0,9
128,43.743258953,0.002457857,0,1
129,43.746425867,0.003166914,0,2
130,44.260701656,0.514275789,0,3
131,44.262298107,0.001596451,0,4
132,45.170799255,0.908501148,0,5
133,45.440903902,0.270104647,0,6
134,45.940762043,0.499858141,0,7
135,46.350741625,0.409979582,0,8
136,46.840853929,0.490112304,0,9
137,46.845249653,0.004395724,0,1
138,46.848370552,0.003120899,0,2
139,47.400759697,0.552389145,0,3
140,47.402583599,0.001823902,0,4
141,48.530716896,1.128133297,0,5
142,48.820759296,0.2900424,0,6
143,49.240696192,0.419936896,0,7
144,49.69069314,0.449996948,0,8
145,50.140729904,0.450036764,0,9
146,50.142876386,0.002146482,1,1
147,50.145119905,0.002243519,1,2
148,50.730783224,0.585663319,1,3
149,52.210719108,1.479935884,1,4
150,52.780868292,0.570149184,1,5
151,52.784107685,0.003239393,1,6
152,53.240695953,0.456588268,1,7
153,54.140690803,0.89999485,1,8
154,54.142769575,0.002078772,1,1
155,54.144980192,0.002210617,1,2
156,54.430704355,0.285724163,1,3
157,55.060714483,0.630010128,1,4
158,55.580711364,0.519996881,1,5
159,55.582179069,0.001467705,1,6
160,56.040757179,0.45857811,1,7
161,56.840860843,0.800103664,1,8
162,56.843763351,0.002902508,1,1
163,56.846225023,0.002461672,1,2
164,57.12069416,0.274469137,1,3
165,57.75075078,0.63005662,1,4
166,58.23075819,0.48000741,1,5
167,58.2326231,0.00186491,1,6
168,58.640769958,0.408146858,1,7
169,59.440719127,0.799949169,1,8
170,59.443237781,0.002518654,1,1
171,59.445643902,0.002406121,1,2
172,59.690807104,0.245163202,1,3
173,60.600705385,0.909898281,1,4
174,61.050757408,0.450052023,1,5
175,61.05222106,0.001463652,1,6
176,61.54069066,0.4884696,1,7
177,62.340687752,0.799997092,1,8
178,62.342804908,0.002117156,1,1
179,62.346836805,0.004031897,1,2
180,62.590707779,0.243870974,1,3
181,63.210870743,0.620162964,1,4
182,63.630707264,0.419836521,1,5
183,63.632382393,0.001675129,1,6
184,64.040801763,0.40841937,1,7
185,64.042944431,0.002142668,1,8
186,64.045134544,0.002190113,0,1
187,64.04972434,0.004589796,0,2
188,64.450724125,0.400999785,0,3
189,64.452319145,0.00159502,0,4
190,66.67072916,2.218410015,0,5
191,66.672405958,0.001676798,0,6
192,66.740745067,0.068339109,0,7
193,67.160699844,0.419954777,0,8
194,67.640701294,0.48000145,0,9
195,67.643321275,0.002619981,0,1
196,67.646178722,0.002857447,0,2
197,68.090712785,0.444534063,0,3
198,68.092620611,0.001907826,0,4
199,68.990755558,0.898134947,0,5
200,69.230705976,0.239950418,0,6
201,69.640768766,0.41006279,0,7
202,70.000730753,0.359961987,0,8
203,70.440891504,0.440160751,0,9
204,70.444885015,0.003993511,0,1
205,70.448667288,0.003782273,0,2
206,70.920751333,0.472084045,0,3
207,70.922743797,0.001992464,0,4
208,71.830826521,0.908082724,0,5
209,72.080728292,0.249901771,0,6
210,72.540742159,0.460013867,0,7
211,72.930731296,0.389989137,0,8
212,73.340721845,0.409990549,0,9
213,73.343498707,0.002776862,0,1
214,73.346395969,0.002897262,0,2
215,73.860729217,0.514333248,0,3
216,73.862622022,0.001892805,0,4
217,74.770721197,0.908099175,0,5
218,75.040719032,0.269997835,0,6
219,75.540801286,0.500082254,0,7
220,75.95073843,0.409937144,0,8
221,76.440808773,0.490070343,0,9
222,76.444667339,0.003858566,0,1
223,76.448103189,0.00343585,0,2
224,77.000920534,0.552817345,0,3
225,77.004750967,0.003830433,0,4
226,77.920959472,0.916208505,0,5
227,78.210742235,0.289782763,0,6
228,78.640818357,0.430076122,0,7
229,79.090889454,0.450071097,0,8
230,79.540767193,0.449877739,0,9
231,79.543919086,0.003151893,1,1
232,79.547496319,0.003577233,1,2
233,80.140759945,0.593263626,1,3
234,81.73074317,1.5899832250000001,1,4
235,82.300734758,0.569991588,1,5
236,82.30244565,0.001710892,1,6
237,82.740749597,0.438303947,1,7
238,83.640693426,0.899943829,1,8
239,83.643140793,0.002447367,1,1
240,83.645715236,0.002574443,1,2
241,83.940724611,0.295009375,1,3
242,84.850713253,0.909988642,1,4
243,85.370692491,0.519979238,1,5
244,85.372156381,0.00146389,1,6
245,85.840707063,0.468550682,1,7
246,86.640710592,0.800003529,1,8
247,86.642740726,0.002030134,1,1
248,86.644936323,0.002195597,1,2
249,86.910764694,0.265828371,1,3
250,87.540733576,0.629968882,1,4
251,88.020738125,0.480004549,1,5
252,88.022365331,0.001627206,1,6
253,88.440701484,0.418336153,1,7
254,89.240710973,0.800009489,1,8
255,89.242912769,0.002201796,1,1
256,89.245399952,0.002487183,1,2
257,89.490715265,0.245315313,1,3
258,90.120805502,0.630090237,1,4
259,90.57071352,0.449908018,1,5
260,90.572386265,0.001672745,1,6
261,91.040685177,0.468298912,1,7
262,91.840683698,0.799998521,1,8
263,91.842675686,0.001991988,1,1
264,91.846938133,0.004262447,1,2
265,92.090800762,0.243862629,1,3
266,92.990750074,0.899949312,1,4
267,93.410745144,0.41999507,1,5
268,93.412702799,0.001957655,1,6
269,93.840923547,0.428220748,1,7
270,93.843879938,0.002956391,1,8
271,93.846116304,0.002236366,0,1
272,93.849421262,0.003304958,0,2
273,94.25071144099999,0.401290179,0,3
274,94.252521038,0.001809597,0,4
275,96.270711183,2.018190145,0,5
276,96.272529602,0.001818419,0,6
277,96.340695142,0.06816554,0,7
278,96.760710954,0.420015812,0,8
279,97.240702152,0.479991198,0,9
280,97.243093967,0.002391815,0,1
281,97.245517492,0.002423525,0,2
282,97.680740595,0.435223103,0,3
283,97.682379245,0.00163865,0,4
284,98.580767631,0.898388386,0,5
285,98.82071042,0.239942789,0,6
286,99.240762949,0.420052529,0,7
287,99.600775718,0.360012769,0,8
288,100.04071474,0.439939022,0,9
289,100.043352842,0.002638102,1,1
290,100.045860052,0.00250721,1,2
291,100.52073574,0.474875688,1,3
292,102.440920591,1.9201848510000001,1,4
293,102.890872955,0.449952364,1,5
294,102.894094228,0.003221273,1,6
295,103.340711593,0.446617365,1,7
296,104.140720129,0.800008536,1,8
297,104.143060684,0.002340555,1,1
298,104.145527839,0.002467155,1,2
299,104.380735635,0.235207796,1,3
300,105.000761032,0.620025397,1,4
301,105.420760631,0.419999599,1,5
302,105.423628568,0.002867937,1,6
303,105.840715408,0.41708684,1,7
304,105.842391491,0.001676083,1,8
305,105.84431529,0.001923799,0,1
306,105.847481012,0.003165722,0,2
307,106.250870943,0.403389931,0,3
308,106.255761623,0.00489068,0,4
309,108.100872516,1.845110893,0,5
310,108.103642225,0.002769709,0,6
311,108.140773296,0.037131071,0,7
312,108.560732126,0.41995883,0,8
313,109.040731191,0.479999065,0,9
314,109.043714761,0.00298357,1,1
315,109.047421694,0.003706933,2,1
